Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Used ISBN,Genre
8031168,"Delusions of Gender: How Our Minds, Society, and Neurosexism Create Difference",Cordelia Fine,"Fine, Cordelia",,0393068382,9780393068382,0,4.08,W.W. Norton & Company,Hardcover,338.0,2010.0,2010.0,,2024/11/05,to-read,to-read (#254),to-read,,,,0,0,9780393068382,"Neuropsychology, Sex Factors, Brain, Sex differences (Psychology), Sex differences, Physiology, Hjärna, Geschlechtsunterschied, Frau, Könsskillnader, Gehirn, Geschlechterforschung, Sex, Social aspects"
320481,Are Women Human? Astute and Witty Essays on the Role of Women in Society,Dorothy L. Sayers,"Sayers, Dorothy L.",,0802829961,9780802829962,0,4.46,William B. Eerdmans Publishing Company,Paperback,75.0,2005.0,1970.0,,2024/11/05,to-read,to-read (#253),to-read,,,,0,0,9780802829962,"History, Women, Conditions sociales, Modern period, Femmes, Women, history, modern period, 1600-, Women, social conditions, Essays (single author), Women, history"
53285047,"Bunny (Bunny, #1)",Mona Awad,"Awad, Mona",,0525559752,9780525559757,0,3.48,Penguin Books,Paperback,305.0,2020.0,2019.0,,2024/10/29,to-read,to-read (#252),to-read,,,,0,0,9780525559757,"American literature, Fiction, general, Graduate students, Fiction, FICTION / Literary, FICTION / Fairy Tales, Folk Tales, Legends & Mythology, FICTION / Humorous / Black Humor"
44279110,My Year of Rest and Relaxation,Ottessa Moshfegh,"Moshfegh, Ottessa",,0525522131,9780525522133,4,3.62,Penguin Books,Paperback,289.0,2019.0,2018.0,2024/10/29,2024/10/17,,,read,I enjoyed this book. It was interesting to read about depression in this manor. <br/><br/><spoiler> I liked how there is no redemption for anyone. </spoiler>,,,1,0,9780525522133,"Fiction, Solitude, American Psychological fiction, Medication abuse, Quacks and quackery, Young women, New york (n.y.), fiction, Fiction, women, nyt:hardcover-fiction=2018-07-29, New York Times bestseller, New York Times reviewed, Psychological fiction, Literary, Contemporary Women"
75491526,"King of Sloth (Kings of Sin, #4)",Ana Huang,"Huang, Ana",,,,3,4.0,,Kindle Edition,466.0,2024.0,2024.0,2024/10/29,2024/08/07,,,read,My least favorite Ana Huang book I've read. <br/><br/>I didn't like Xavier and I didn't like Sloane. <br/><br/>Massive oh boo hoo on this one. Just get over yourself. ,,,1,0,,No ISBN
215805924,"Vera Wong's Guide to Snooping [on a Dead Man] (Vera Wong, #2)",Jesse Q. Sutanto,"Sutanto, Jesse Q.",,0593546253,9780593546253,0,4.33,Berkley,Paperback,336.0,2025.0,2025.0,,2024/10/09,to-read,to-read (#251),to-read,,,,0,0,9780593546253,English literature
26856502,"Vengeful (Villains, #2)",Victoria E. Schwab,"Schwab, Victoria E.",,,,5,4.13,Tor,Kindle Edition,462.0,2018.0,2018.0,2021/06/28,2021/06/27,,,read,"Edit October 2024: <br/>So I just did a reread of the two Villains books in the past couple months and I had totally forgotten what happened in this book! Rereading my old review everything is still true. Except now we know that there will be a third one! <br/><br/>OG Review June 2021:<br/>Wow this was a whirlwind. I am in love with Victor Vale and it isn't surprising. He's such a fascinating character and impossible not to love. I found out recently that there is possibly a third book in this Villians world and you better believe I will be the first person to pre-order that book when it comes out. <br/><br/>I love that we were able to find out so much more about Eli's history and backstory and I thought that Marella's character was so fascinating. <br/><br/><spoiler> I think I'm in shock and denial that Eli died. I really wanted it to be a battle of wit and have Victor figure something out and kill Eli but it happened to be that crazy scientist instead. And the scientist, I can't even remember his name was so insignificant it almost seems unfair. But I really like that Sydney was the one who pulled the trigger to finish Eli off since Victor wasn't the one able to do it. <br/><br/>I'm sad that Victor kinda left Sydney and Mitch in the dust and walked away. I think that Sydney must be the key to saving him since she was the one who revived him in the first place. Like maybe they kill Victor and Sydney can bring him back fixed. <br/><br/>Also I've always wondered what would happen if Eli was decapitated. Does his head grow a new body, or does his body grow a new head. That would've been interesting to explore. </spoiler> <br/><br/>I love this book so much! This Villians universe is definitely one of my favorites.",,,2,0,,No ISBN
203956639,An Academy for Liars,Alexis Henderson,"Henderson, Alexis",,0593638301,9780593638309,0,3.48,Ace,Hardcover,464.0,2024.0,2024.0,,2024/09/16,to-read,to-read (#250),to-read,,,,0,0,9780593638309,No categories available
17573685,The Feminine Mystique,Betty Friedan,"Friedan, Betty","Gail Collins, Anna Quindlen",0393346781,9780393346787,0,3.87,W. W. Norton & Company,Paperback,562.0,2013.0,1963.0,,2024/09/13,to-read,to-read (#249),to-read,,,,0,0,9780393346787,"Femmes, Conditions sociales, Discrimination à l'égard des femmes, Histoire et Condition Sociale, Droits, Women, Social conditions, Psychology, Feminism, Social and moral questions, Vrouwen, Sociale situatie, open_syllabus_project, Long Now Manual for Civilization, Frauenemanzipation, Geschlechterrolle, Umschulungswerkstätten für Siedler und Auswanderer, Frau, Psychologie, Féminisme, Women's rights, Women's studies, Women, social conditions, Women, united states, social conditions, Women, psychology, Condiciones sociales, Women in the United States, Mujeres, Problemas sociales y morales, United states, social conditions, 1945-, Friedan, betty, 1921-2006"
57004637,The Book of Form and Emptiness,Ruth Ozeki,"Ozeki, Ruth",,0399563644,9780399563645,0,4.02,Viking,Hardcover,548.0,2021.0,2021.0,,2024/09/07,to-read,to-read (#248),to-read,,,,0,0,9780399563645,"American literature, Fiction, magical realism, Fiction, coming of age, Teenage boys, Fiction, Fathers, Death, Books, Public libraries, Compulsive hoarding, Asian Americans, Bildungsromans, FICTION / Asian American, FICTION / Coming of Age, FICTION / Magical Realism, Coming of age"
217206738,"King of Wrath (Kings of Sin, #1)",Ana Huang,"Huang, Ana",,,,4,4.05,,Kindle Edition,398.0,2022.0,2022.0,2024/02/11,2024/08/07,,,read,Honestly my favorite spicy scenes and male character compared to the whole twisted series! <br/><br/>Merged review:<br/><br/>Honestly my favorite spicy scenes and male character compared to the whole twisted series! <br/><br/>Merged review:<br/><br/>Honestly my favorite spicy scenes and male character compared to the whole twisted series! <br/><br/>Merged review:<br/><br/>Honestly my favorite spicy scenes and male character compared to the whole twisted series! <br/><br/>Merged review:<br/><br/>Honestly my favorite spicy scenes and male character compared to the whole twisted series! <br/><br/>Merged review:<br/><br/>Honestly my favorite spicy scenes and male character compared to the whole twisted series! <br/><br/>Merged review:<br/><br/>Honestly my favorite spicy scenes and male character compared to the whole twisted series! <br/><br/>Merged review:<br/><br/>Honestly my favorite spicy scenes and male character compared to the whole twisted series! <br/><br/>Merged review:<br/><br/>Honestly my favorite spicy scenes and male character compared to the whole twisted series! <br/><br/>Merged review:<br/><br/>Honestly my favorite spicy scenes and male character compared to the whole twisted series! <br/><br/>Merged review:<br/><br/>Honestly my favorite spicy scenes and male character compared to the whole twisted series! <br/><br/>Merged review:<br/><br/>Honestly my favorite spicy scenes and male character compared to the whole twisted series! <br/><br/>Merged review:<br/><br/>Honestly my favorite spicy scenes and male character compared to the whole twisted series!,,,3,0,,No ISBN
215806352,"Vera Wong's Guide to Snooping on a Dead Man (Vera Wong, #2)",Jesse Q. Sutanto,"Sutanto, Jesse Q.",,0593546261,9780593546260,0,4.33,Berkley,Kindle Edition,,2025.0,2025.0,,2024/08/07,to-read,to-read (#247),to-read,,,,0,0,9780593546260,Not Found
176442577,"Murder Your Employer (The McMasters Guide to Homicide, #1)",Rupert Holmes,"Holmes, Rupert",,1451648227,9781451648225,0,3.82,Avid Reader Press,Paperback,395.0,2024.0,2023.0,,2024/08/07,to-read,to-read (#246),to-read,,,,0,0,9781451648225,"nyt:combined-print-and-e-book-fiction=2024-05-19, New York Times bestseller"
61827543,"Vera Wong's Unsolicited Advice for Murderers (Vera Wong, #1)",Jesse Q. Sutanto,"Sutanto, Jesse Q.",,0593549228,9780593549223,4,4.03,Berkley,Paperback,339.0,2023.0,2023.0,2024/08/07,2023/11/14,,,read,"This book was so wonderful and whimsical. I've never read anything like it. Vera Wong was such a classic Chinese grandmother. Having the setting in SF with all these characters felt so realistic even if the situation itself was so unrealistic. <br/><br/>Vera's personality really shined through and I see that this book is a series and I would be very interested in continuing to read, though, can Vera just relax and enjoy retirement ;-;",,,1,0,9780593549223,No categories available
58659343,Our Wives Under the Sea,Julia Armfield,"Armfield, Julia",,152901722X,9781529017229,0,3.75,Picador,Paperback,240.0,2022.0,2022.0,,2024/07/10,to-read,to-read (#245),to-read,,,,0,0,9781529017229,"Lesbian couples, Fiction, Women marine biologists, Grief, Wives, Same-sex marriage, Underwater exploration, FICTION / LGBTQ+ / General, Submarines, Lesbians, Life change events"
58109575,"London Dynasty (The Dynasties, #1)",Geneva Lee,"Lee, Geneva",,,,3,4.11,Estate Publishing,Kindle Edition,160.0,2021.0,2020.0,2024/06/19,2024/06/19,,,read,This was sooooo funny. Lmao it's not that good at all but i might continue reading for the vibes,,,1,0,,No ISBN
199310463,"Past Present Future (Rowan & Neil, #2)",Rachel Lynn Solomon,"Solomon, Rachel Lynn",,1665901950,9781665901956,5,3.88,Simon & Schuster Books for Young Readers,Hardcover,384.0,2024.0,2024.0,2024/01/01,2024/02/16,,,read,,,,1,0,9781665901956,No categories available
44334073,Tools and Weapons: The Promise and the Peril of the Digital Age,Brad   Smith,"Smith, Brad",Carol Ann  Browne,1984877712,9781984877710,3,3.86,Penguin Press,Hardcover,368.0,2019.0,2019.0,2024/06/19,2024/03/26,,,read,Read this for class but it lowkey was a microsoft circle jerk,,,1,0,9781984877710,"nyt:hardcover-nonfiction=2019-09-29, New York Times bestseller, Cyberspace, Digital electronics, Computer crimes, Computers, social aspects, Computer science, Social aspects, Moral and ethical aspects"
62695377,"Threads That Bind (Threads That Bind, #1)",Kika Hatzopoulou,"Hatzopoulou, Kika",,0593528719,9780593528716,0,3.91,Razorbill,Hardcover,352.0,2023.0,2023.0,,2024/05/11,to-read,to-read (#244),to-read,,,,0,0,9780593528716,No categories available
23437156,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"Bardugo, Leigh",,1627792120,9781627792127,5,4.47,Henry Holt & Company,Hardcover,480.0,2015.0,2015.0,2017/04/16,2015/11/10,,,read,"WOW! <br/><br/>This book is what I have been looking for for ages. <br/><br/>I love Kaz and Inej, they're my favorite characters.  <br/><br/>Also, actual badass characters who kill.  Not fake assassins or criminal YA characters who are afraid of killing when it needs to be done.  Real Killers.  YESSSSSSSSSSSSSSS<br/><br/>Edit April 15, 2021: <br/><br/>Wow, my fourth reread of Six Of Crows. Every time it blows me away. I thought, maybe I could give this book a proper review. (Though none of my reviews are ever proper)<br/><br/>This is hands down my favorite book of all time. Yes. My favorite book of all time. <br/>I'm rereading it now for the Shadow and Bone TV show coming out on April 23, 2021. <br/><br/>Once again, I'm shocked by how beautiful Bardugo's writing is. The way it flows and melds together is beautiful. Every single word keeps my eyes glued to the page. Even though it's my fourth time reading it, it always feels like it's my first.  <br/><br/>Kaz  Brekker is  the ultimate guy. He's dark and brooding and insane, but somehow realistic. I love how Bardugo creates these characters that are so strong and powerful, but all of them have incredibly deep flaws that keep them grounded. I'll never get tired of this book. Never. It's amazing and I'm so glad to have read it.<br/><br/>Edit May 7, 2024:<br/>This is my 5th time reading this book because I bought the special LitJoy Crate edition with annotations written by Bardugo herself. I loved reading this because it allowed me to see all her background thoughts of a lot of scenes. ",,,5,0,9781627792127,"Young adult fiction, Fantasy fiction, Fiction, Young adult works, Juvenile works, Science fiction, Juvenile fiction, LGBTQ novels, YA fiction, mystery, heist, fantasy, Brigands and robbers, Thriller, Action & Adventure, Imaginary places, Magic, Gangs, Children's fiction, Robbers and outlaws, fiction, nyt:young-adult-e-book=2015-10-18, New York Times bestseller"
194802722,Funny Story,Emily Henry,"Henry, Emily",,,,4,4.22,Berkley,Kindle Edition,400.0,2024.0,2024.0,2024/05/04,2024/04/30,,,read,"I had high expectations going into this book because Emily Henry is one of my favorite authors. Also, I'm going to be a Librarian so I felt very connected to the FMC. The past three books she's written I have loved. This felt like the weakest of hers so far. <br/><br/>The thing was, I'm not sure I've related to another FMC more. Same occupation, same anxieties, same trauma. Her thoughts and fears echoed mine exactly. But I just didn't like Miles all too much so maybe that is where my disconnect was. Still a great book, and I'll definitely read her next one. ",,,1,0,,No ISBN
40874032,"Vicious (Villains, #1)",Victoria E. Schwab,"Schwab, Victoria E.",,,,5,4.2,Tor Books,Kindle Edition,402.0,2013.0,2013.0,2021/06/27,2021/06/27,,,read,I love how V.E. Schwab tells her stories weaving back and forth between the past and the present. Filling in gaps in such an artistic way keeping my eyes glued to the page. (Of course I don't know if that's always her MO since this is only the second book I've read of hers. The first being the Invisible Life Of Addie LaRue.) <br/><br/>I love Victor's character! I like how he's so morally gray and so fixed on his revenge. I like the world she created with EOs and Sydney's character was so great too. <br/><br/>I'm so lucky that I get to now read the sequel and do not have to wait 5 years to read it like the original people who read this book. <br/><br/>I can't wait to see what Victor Vale is up to next! ,,,1,0,,No ISBN
10956,The Virgin Suicides,Jeffrey Eugenides,"Eugenides, Jeffrey",,0747560595,9780747560593,4,3.79,Bloomsbury Paperbacks,Paperback,250.0,2002.0,1993.0,2024/04/18,2024/03/09,,,read,"I had to let this book marinate for a while before reviewing. I thought this was a really thought provoking read. After reading other reviews, there seems to be two sides of thought. I fall somewhere in between. I understand the significance and the meaning. I like the unreliable narrator and the commentary of these boys who are obsessed with the Lisbon Girls but are unable to see their own flaws. <br/><br/>I liked this book a lot, but there were a couple times where I felt it dragged in the middle.  ",,,1,0,9780747560593,"Fiction, psychological, Young women, fiction, Sisters, fiction, Fiction, urban, Michigan, fiction, Fiction, city life, Teenagers, Fiction, Suicidal behavior, Suburban life, Teenage girls, Sisters, Memory, Detective and mystery stories, Suicide, Mystery fiction, Fiction, general, Fiction, media tie-in, Literary, FICTION / Coming of Age, FICTION / Literary, Sœurs, Romans, nouvelles, Adolescentes, Vie de la banlieue, Adolescents, Comportement suicidaire, Literature"
61272658,"Murder Your Employer (The McMasters Guide to Homicide, #1)",Rupert Holmes,"Holmes, Rupert",,1451648219,9781451648218,0,3.82,Avid Reader Press / Simon & Schuster,Hardcover,400.0,2023.0,2023.0,,2024/04/16,to-read,to-read (#243),to-read,,,,0,0,9781451648218,"nyt:combined-print-and-e-book-fiction=2024-05-19, New York Times bestseller"
56590186,Nettle & Bone,T. Kingfisher,"Kingfisher, T.",,,,4,4.11,Tor Books,Kindle Edition,259.0,2022.0,2022.0,2024/03/24,2024/03/24,,,read,"I thought this was a well written shorter complete fantasy story. I liked how it followed the traditional storyline plot of doing quests and then creating a journey and collecting people along the way to achieve one's goal; then the completion of the goal at the end. <br/><br/>Even with the traditional plotline, the writing and the world of magic that Kingfisher creates is exciting and new. I enjoyed this with no complaints.",,,1,0,,No ISBN
124943221,"King of Greed (Kings of Sin, #3)",Ana Huang,"Huang, Ana",,,,5,3.92,,Kindle Edition,352.0,2023.0,2023.0,2024/03/24,2024/03/24,,,read,"Okay I had low expectations for this book because of the low reviews, but it happened to be my first Ana Huang 5 star book. <br/><br/>I loved Dominic Davenport. I love that he had to put her as a priority over work. That he was willing to make this sacrifice even though he came from nothing. He didn't ""grovel"" but it was as close as can be and that was amazing. <br/><br/>Out of any man I've read in any of Ana Huang's books, he is my favorite. I also liked that it felt to me that she held all the power and he was on his knees. ",,,1,0,,No ISBN
36438315,The Yellow Wallpaper: Charlotte Perkins Gilman's Seminal Work on Gender and Mental Health,Charlotte Perkins Gilman,"Gilman, Charlotte Perkins",,,,4,4.08,Prabhat Prakashan,Kindle Edition,32.0,2017.0,1892.0,2024/03/24,2024/03/24,,,read,,,,1,0,,No ISBN
180633984,A Crane Among Wolves,June Hur,"Hur, June",,1250858100,9781250858108,0,3.98,Feiwel & Friends,Kindle Edition,364.0,2024.0,2024.0,,2024/03/21,to-read,to-read (#242),to-read,,,,0,0,9781250858108,"nyt:young-adult-hardcover=2024-06-02, New York Times bestseller"
41104077,Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,"Pérez, Caroline Criado",,1419729071,9781419729072,5,4.35,Abrams Press,Hardcover,448.0,2019.0,2019.0,2024/03/18,2024/02/20,,,read,This book was really eye opening and I think everyone should read it. ,,,1,0,9781419729072,"Sex discrimination against women, Social sciences, research, Sex discrimination, Sex role, Male domination (Social structure), Social sciences, Research, Methodology, SOCIAL SCIENCE, Discrimination & Race Relations, Minority Studies, Gender mainstreaming, Social aspects, Data mining, Big data"
36681361,"Jade City (The Green Bone Saga, #1)",Fonda Lee,"Lee, Fonda",,,,4,4.08,Orbit ,Kindle Edition,612.0,2017.0,2017.0,2024/03/04,2022/10/11,,,read,"I really liked this book. I was buddy reading this with my boyfriend and he's probably the only reason why I finished this book. It was quite slow in some places and didn't really start to get interesting until the midway point. <br/><br/>I've never read or watched anything like it. I don't have an interest in gang or mafia stories so I've never seen the godfather or any of the other content the author said she was inspired by. Thus, the story felt incredibly fresh and exciting to someone who's not familiar with those trope. I think I would want to continue reading the books, but it might take some time.<br/><br/>Overall the characters are really well written and I like the exploration the the world and it's culture. The jade powers and Green Bones are so creative. I like that <spoiler> They killed Lan. It makes me feel like no character is safe from death going forward. </spoiler><br/><br/>My only complaint is that I don't LOVE any characters yet. And as a very character driven person, I hope to love a character in the coming books. ",,,1,0,,No ISBN
62202008,"Divine Rivals (Letters of Enchantment, #1)",Rebecca   Ross,"Ross, Rebecca",,,,5,4.17,Wednesday Books,Kindle Edition,356.0,2023.0,2023.0,2024/03/01,2024/02/29,,,read,"This book surprised me with how easy to read it was and how addicting it was. I could not put this book down and ended up finishing it late into the night. <br/><br/>I was enamored by the relationship that Iris and Roman had. The war torn country pushed them together and it was so cute, but it still felt dangerous. I wish there was a little more world building. I'm confused with the gods stuff. How the war actually works. Why are they fighting trench warstyle when they have such technology and magic. <br/><br/>How does magic work? Why is it engrained in the grocery store, but people can't do it? <br/><br/>I hope to read the second book soon. That ending tho!",,,1,0,,No ISBN
